"areaCode","population"
"E02002995",5841
"E02002996",13843
"E02002997",7984
"E02002998",6023
"E02002999",5597
"E02003000",9633
"E02003001",5606
"E02003002",6143
"E02003003",6114
"E02003004",7044
"E02003005",6611
"E02003006",9708
"E02003007",9429
"E02003008",6140
"E02003009",6279
"E02003010",6732
"E02003011",5752
"E02003012",11655
"E02003013",12022
"E02003014",8292
"E02003015",6692
"E02003016",8169
"E02003017",6118
"E02003018",5870
"E02003019",9839
"E02003020",6416
"E02003021",7468
"E02003022",5934
"E02003023",6607
"E02003024",9795
"E02003025",7645
"E02003026",9308
"E02003027",12695
"E02003028",8435
"E02003029",6408
"E02003030",7957
"E02003031",10538
"E02003032",8258
"E02003033",8901
"E02003034",13482
"E02003036",10742
"E02003037",8907
"E02003038",6562
"E02003039",8693
"E02003040",10092
"E02003041",6257
"E02003043",19916
"E02003044",5740
"E02003045",7515
"E02003046",9879
"E02003047",11149
"E02003048",7058
"E02003049",7567
"E02003050",10074
"E02003051",7460
"E02003052",6815
"E02003053",8184
"E02003054",6647
"E02003055",8447
"E02003056",7456
"E02003057",5887
"E02003058",9102
"E02003059",6214
"E02003060",10604
"E02003061",6083
"E02003062",5878
"E02003063",6729
"E02003064",7041
"E02006887",10204
"E02006888",7267
"E02006889",8377
"E02006890",8816
"E02003065",9904
"E02003066",6179
"E02003067",7990
"E02003068",6334
"E02003069",5647
"E02003070",13594
"E02003071",8081
"E02003072",9136
"E02003073",6386
"E02003074",7723
"E02003075",6067
"E02003076",9473
"E02003077",6204
"E02003078",7182
"E02003079",9341
"E02003080",8686
"E02003081",9423
"E02003082",9229
"E02003084",10775
"E02003085",7848
"E02003086",6046
"E02003087",10392
"E02003088",8616
"E02003089",5971
"E02006845",9894
"E02006846",9453
"E02003090",8441
"E02003091",6657
"E02003092",8414
"E02003093",6456
"E02003094",8978
"E02003095",7849
"E02003096",6328
"E02003097",6397
"E02003098",10362
"E02003099",7460
"E02003100",14593
"E02003101",11230
"E02003102",7039
"E02003103",7165
"E02003104",7576
"E02003105",6366
"E02003106",17186
"E02003107",11285
"E02003108",11519
"E02003109",6132
"E02003110",12226
"E02003111",6641
"E02003112",6688
"E02003113",10563
"E02003114",7125
"E02003115",10025
"E02003116",7874
"E02003117",9493
"E02003118",10054
"E02003119",10473
"E02003120",9254
"E02003121",9967
"E02003122",7124
"E02003123",8772
"E02003124",8075
"E02003125",5989
"E02003126",7944
"E02003127",7433
"E02003128",8959
"E02003129",6156
"E02003130",10418
"E02003131",7272
"E02003132",9039
"E02003133",7116
"E02003134",6813
"E02003135",7620
"E02003136",7645
"E02003137",7794
"E02003138",7636
"E02003139",6586
"E02003140",7635
"E02003141",7916
"E02003142",9036
"E02003143",7330
"E02003144",9092
"E02003145",6829
"E02003146",8653
"E02003147",9290
"E02003148",10903
"E02003149",9614
"E02003150",12350
"E02003151",7884
"E02003152",10507
"E02003153",7409
"E02003154",7159
"E02003155",5810
"E02003156",10629
"E02003157",6423
"E02003158",5585
"E02003159",5801
"E02003161",7657
"E02003163",7884
"E02003164",8855
"E02003165",7078
"E02003166",12228
"E02003167",9525
"E02003168",7086
"E02003169",6780
"E02003170",9431
"E02003171",7392
"E02006840",10895
"E02003172",6275
"E02003173",6450
"E02003174",8046
"E02003175",9118
"E02003176",7396
"E02003177",8046
"E02003178",8410
"E02003179",6495
"E02003180",9581
"E02003181",8649
"E02003182",6493
"E02003183",6958
"E02003184",8115
"E02003185",7493
"E02003186",9304
"E02003187",9559
"E02003188",13714
"E02003189",8598
"E02003190",10659
"E02003191",8184
"E02003192",13088
"E02006883",5878
"E02006885",8136
"E02003194",6136
"E02003195",5514
"E02003196",10152
"E02003197",6765
"E02003198",7382
"E02003199",9088
"E02003200",10242
"E02003201",10858
"E02003202",6255
"E02003203",7543
"E02003204",9180
"E02003205",8320
"E02003206",10122
"E02003207",7090
"E02003208",11951
"E02003209",6567
"E02003210",9614
"E02003211",9013
"E02003212",8067
"E02003214",6222
"E02003215",6571
"E02003216",9284
"E02003217",7077
"E02003218",6259
"E02003219",10237
"E02003220",9911
"E02003221",7108
"E02003222",5672
"E02003223",10622
"E02003224",8267
"E02003225",5899
"E02003226",10527
"E02003227",6683
"E02003228",7681
"E02003229",5368
"E02003230",8857
"E02003231",8715
"E02003232",8621
"E02003233",8557
"E02003234",8092
"E02003235",9237
"E02003236",11985
"E02006847",9574
"E02006848",8209
"E02006849",9579
"E02003237",5625
"E02003238",5442
"E02003239",7350
"E02003240",6734
"E02003241",6475
"E02003242",7910
"E02003243",10844
"E02003244",9448
"E02003245",7821
"E02003246",9999
"E02003247",8379
"E02003248",11244
"E02003249",12190
"E02003250",12576
"E02003251",7210
"E02003252",12716
"E02003253",9827
"E02003254",8472
"E02003255",11895
"E02003257",8834
"E02006877",9851
"E02006878",11784
"E02003258",8192
"E02003259",6189
"E02003260",8475
"E02003261",5918
"E02003262",10065
"E02003263",12077
"E02003264",9194
"E02003265",7808
"E02003266",9220
"E02003267",13672
"E02003268",11755
"E02003269",10396
"E02003270",8263
"E02003271",9521
"E02003272",10282
"E02003273",10871
"E02003274",11281
"E02003275",16123
"E02003276",9171
"E02003277",10981
"E02003278",14074
"E02003279",9425
"E02003280",10599
"E02003281",9665
"E02003282",10724
"E02003283",11159
"E02003284",11237
"E02003285",11205
"E02003286",9459
"E02003287",9977
"E02003288",13025
"E02003289",10288
"E02003290",10398
"E02003291",11939
"E02003292",12215
"E02003293",11762
"E02003294",9281
"E02003295",10415
"E02003296",6778
"E02003297",7107
"E02003298",6699
"E02003299",5944
"E02003300",8526
"E02003301",11731
"E02003302",10738
"E02003303",9353
"E02003304",9790
"E02003305",6695
"E02003307",10489
"E02003308",7309
"E02003309",7646
"E02003310",15509
"E02003311",9445
"E02003312",10294
"E02003313",14994
"E02006859",8160
"E02006926",8324
"E02003314",6326
"E02003315",5614
"E02003316",11147
"E02003317",6825
"E02003318",5976
"E02003319",8417
"E02003320",9458
"E02003321",6520
"E02003322",8334
"E02003323",7671
"E02003324",9975
"E02003325",7819
"E02003326",7996
"E02003327",7665
"E02003328",10034
"E02003329",7278
"E02003330",6763
"E02003331",8829
"E02003332",6253
"E02003333",7489
"E02003334",6152
"E02003335",7716
"E02003336",6134
"E02003337",7154
"E02003338",7098
"E02003339",6497
"E02003340",7980
"E02003341",6683
"E02003342",6280
"E02003343",5886
"E02003344",7032
"E02003345",6137
"E02003346",6972
"E02003347",6052
"E02003348",7767
"E02003349",7244
"E02003350",6221
"E02003351",7748
"E02003352",5857
"E02003353",10948
"E02003354",10039
"E02003355",6819
"E02003356",7314
"E02003357",10399
"E02003358",11649
"E02003359",6488
"E02003360",11767
"E02003361",7520
"E02003362",6801
"E02003363",7407
"E02003364",6899
"E02003365",6745
"E02003366",7513
"E02003367",6393
"E02003368",5684
"E02003369",6500
"E02003370",6644
"E02003371",5682
"E02003372",7587
"E02003373",8609
"E02003374",5616
"E02003375",5940
"E02003376",5801
"E02003377",10391
"E02003378",7760
"E02003379",6826
"E02003380",7873
"E02003381",5915
"E02003382",7989
"E02003383",6812
"E02003384",6408
"E02003385",10629
"E02003386",8192
"E02003387",9421
"E02003388",5793
"E02003389",7228
"E02003390",7066
"E02003391",7835
"E02003392",7777
"E02003393",7348
"E02003394",7874
"E02003395",10173
"E02003396",9004
"E02003397",7326
"E02003398",10390
"E02003399",15053
"E02003400",7915
"E02003401",8567
"E02003402",10246
"E02003403",8605
"E02003404",9335
"E02003405",11515
"E02003406",7080
"E02003407",9999
"E02003408",10988
"E02003409",9800
"E02003410",11412
"E02003411",11443
"E02003412",9729
"E02003413",13639
"E02003414",13296
"E02003415",12977
"E02003416",9214
"E02003417",11773
"E02003418",10020
"E02003419",8699
"E02003420",6588
"E02003421",5550
"E02003422",11452
"E02003423",6462
"E02003424",8947
"E02003425",13118
"E02003426",9798
"E02003427",8301
"E02003428",9101
"E02003429",7649
"E02003430",7149
"E02003431",6671
"E02003432",7378
"E02003433",6560
"E02003434",9106
"E02003435",7227
"E02003436",8414
"E02003437",7454
"E02003438",10936
"E02003439",5648
"E02003440",9333
"E02003441",7681
"E02003442",8035
"E02003443",7242
"E02003444",9940
"E02003445",8755
"E02003446",9980
"E02003447",10564
"E02003448",7734
"E02003449",7809
"E02003450",12764
"E02003451",9259
"E02003452",8977
"E02003453",6831
"E02003454",8800
"E02003455",9200
"E02003456",7310
"E02003457",9905
"E02003458",8178
"E02003459",8239
"E02003460",10789
"E02003461",7126
"E02003462",7597
"E02003463",6460
"E02003464",6602
"E02003465",6026
"E02003466",7647
"E02003467",6367
"E02003468",8201
"E02003469",5542
"E02003470",5923
"E02003471",6628
"E02003472",9940
"E02003473",5442
"E02003474",8844
"E02003475",23490
"E02003476",8953
"E02003477",16369
"E02003478",6700
"E02003479",7461
"E02003480",8038
"E02003481",7956
"E02003482",6874
"E02003483",10922
"E02003484",7006
"E02003485",7940
"E02003486",9456
"E02003487",7222
"E02003488",7755
"E02003489",7307
"E02003490",9381
"E02003491",7824
"E02003492",11904
"E02003493",8184
"E02003494",6524
"E02003495",7021
"E02003496",7510
"E02003497",7601
"E02003498",9100
"E02003499",7959
"E02003500",8227
"E02003501",8797
"E02003502",7612
"E02003503",8870
"E02003504",8730
"E02003505",10460
"E02003506",7283
"E02003507",9695
"E02003508",9826
"E02003509",9451
"E02003510",8955
"E02003511",8593
"E02003512",9911
"E02003513",6511
"E02003514",9536
"E02003515",9157
"E02003516",9132
"E02003517",13184
"E02003518",8063
"E02003519",10019
"E02003520",9690
"E02003521",8549
"E02003522",7790
"E02003523",10070
"E02003524",7896
"E02003525",6478
"E02003526",6710
"E02003527",6311
"E02003529",8181
"E02003530",7658
"E02003531",7739
"E02003532",7693
"E02003533",5675
"E02003534",9025
"E02003535",9785
"E02003536",8156
"E02003537",10333
"E02003538",10564
"E02003539",17048
"E02003540",9405
"E02003541",12648
"E02003542",9439
"E02003543",9037
"E02003544",6283
"E02003545",7444
"E02003546",8538
"E02003547",9474
"E02003548",6622
"E02006821",6550
"E02003549",9271
"E02003550",7724
"E02003551",6897
"E02003552",5930
"E02003553",7976
"E02003554",6158
"E02003555",8193
"E02003556",5714
"E02003557",6971
"E02003558",7075
"E02003559",7804
"E02003560",7418
"E02003561",8699
"E02003562",8398
"E02003563",7792
"E02003564",7665
"E02003565",7455
"E02003566",6132
"E02003567",7707
"E02003568",9052
"E02003569",8020
"E02003570",12399
"E02003571",11362
"E02003572",6048
"E02003573",7553
"E02003574",7240
"E02003575",6518
"E02003576",8005
"E02003577",14524
"E02003578",5991
"E02003579",9163
"E02003580",6018
"E02003581",7891
"E02003582",8640
"E02003583",7536
"E02003584",6521
"E02003585",6753
"E02003586",7844
"E02003587",8803
"E02003588",8641
"E02003589",8182
"E02003590",7541
"E02003591",9675
"E02003592",9548
"E02003593",5268
"E02003594",9376
"E02003595",7943
"E02003596",8912
"E02003597",5765
"E02003598",7457
"E02004290",5817
"E02004291",7245
"E02004292",7926
"E02004293",9659
"E02004294",8283
"E02004295",7280
"E02004296",8548
"E02004297",8097
"E02004298",10083
"E02004299",8397
"E02004300",7896
"E02004301",9582
"E02004302",7901
"E02004303",11220
"E02004304",9296
"E02004305",10181
"E02004306",6022
"E02004307",6692
"E02004308",8144
"E02004309",6453
"E02004310",7900
"E02004311",9134
"E02004312",7430
"E02004313",8104
"E02004314",14693
"E02004315",15982
"E02004316",6383
"E02004317",7543
"E02004318",6672
"E02004319",8042
"E02004320",8912
"E02004321",8500
"E02004322",8639
"E02004323",8001
"E02004324",5780
"E02004325",8533
"E02004326",6906
"E02004327",5804
"E02004328",7258
"E02004329",6375
"E02004330",5716
"E02004331",7326
"E02004332",7497
"E02004333",6871
"E02004334",7206
"E02004335",7559
"E02004336",6634
"E02004337",10165
"E02004338",7095
"E02004339",6910
"E02004340",10427
"E02004341",8633
"E02004342",5715
"E02004343",5483
"E02004344",7136
"E02004345",12790
"E02004346",5171
"E02004347",7318
"E02004348",7980
"E02004349",9461
"E02004350",9682
"E02004351",7312
"E02004352",8038
"E02004353",7271
"E02004354",9170
"E02004355",7270
"E02003811",6960
"E02003812",6290
"E02003813",6107
"E02003814",8097
"E02003815",7170
"E02003816",7220
"E02003817",7029
"E02003818",5404
"E02003819",6248
"E02003820",9444
"E02003821",5393
"E02003822",11080
"E02003823",6515
"E02003824",5943
"E02003825",6249
"E02003826",8288
"E02003827",9678
"E02003828",6741
"E02003829",5621
"E02003830",8165
"E02003831",9815
"E02003832",6620
"E02003833",6048
"E02003834",7179
"E02003835",7848
"E02003836",7007
"E02003837",14681
"E02003838",7336
"E02003839",6996
"E02003840",10643
"E02003853",6124
"E02003854",6318
"E02003855",6397
"E02003856",10869
"E02003857",6685
"E02003858",7127
"E02003859",11986
"E02003860",7259
"E02003861",6306
"E02003862",5108
"E02003863",6712
"E02003864",8403
"E02003865",7998
"E02003866",5973
"E02003867",7526
"E02003868",8174
"E02003869",7125
"E02003870",10279
"E02003871",6721
"E02003872",9712
"E02003873",6050
"E02003794",8592
"E02003795",5778
"E02003796",7246
"E02003797",10215
"E02003798",6026
"E02003799",7116
"E02003800",6858
"E02003801",6861
"E02003802",8944
"E02003803",9864
"E02003804",6516
"E02003805",6279
"E02003806",8019
"E02003807",8013
"E02003808",6409
"E02003809",7980
"E02003810",9184
"E02003841",7971
"E02003842",5312
"E02003843",6022
"E02003844",6441
"E02003845",9939
"E02003846",6806
"E02003847",9437
"E02003848",4973
"E02003849",7674
"E02003850",4995
"E02003851",5511
"E02003852",6336
"E02003874",9101
"E02003875",6298
"E02003876",5491
"E02003877",9261
"E02003878",8772
"E02003879",8873
"E02003880",6165
"E02003881",5847
"E02003882",9356
"E02003883",10726
"E02003884",8494
"E02003885",6105
"E02003886",6576
"E02003887",6587
"E02003888",6241
"E02003889",5999
"E02003890",6602
"E02003891",6012
"E02006008",9820
"E02006009",7106
"E02006010",11763
"E02006011",5958
"E02006012",6393
"E02006013",7706
"E02006014",9696
"E02006015",10569
"E02006016",8256
"E02006017",8236
"E02006018",12501
"E02006019",6306
"E02006020",7763
"E02006021",8669
"E02006022",6456
"E02006023",10038
"E02006024",10169
"E02006025",9918
"E02006026",7231
"E02006027",5506
"E02006028",9553
"E02006029",8020
"E02006030",8236
"E02006031",8286
"E02006032",9034
"E02006033",8855
"E02006034",10617
"E02006035",5681
"E02006036",6545
"E02006037",10434
"E02006038",8367
"E02006039",8360
"E02006040",8014
"E02006041",5927
"E02006042",5973
"E02006043",6836
"E02006044",6458
"E02006045",10957
"E02006046",9202
"E02003892",6515
"E02003893",6685
"E02003894",8335
"E02003895",9037
"E02003896",5755
"E02003897",5531
"E02003898",6809
"E02003899",5417
"E02003900",7051
"E02003901",7981
"E02003902",5194
"E02003903",6264
"E02003904",4905
"E02003905",6939
"E02003906",6074
"E02003907",8524
"E02003908",8529
"E02003909",10511
"E02003910",6638
"E02003911",9139
"E02003912",8102
"E02003913",6214
"E02003914",8448
"E02003915",7858
"E02003916",7024
"E02003917",8191
"E02003918",7195
"E02003919",7421
"E02003920",8169
"E02003921",6066
"E02003922",8800
"E02003923",8761
"E02003924",6974
"E02003925",7794
"E02003926",8490
"E02003927",11819
"E02003928",12318
"E02003929",6874
"E02003930",9718
"E02003931",10599
"E02003932",7614
"E02003933",7287
"E02003934",7193
"E02003935",11068
"E02003936",8513
"E02003937",5631
"E02003938",7089
"E02003939",7184
"E02003940",6273
"E02003941",8468
"E02003942",8175
"E02003943",6926
"E02003944",10214
"E02003945",6129
"E02003946",9713
"E02003947",6679
"E02003948",8247
"E02003949",6659
"E02003950",5588
"E02003951",5902
"E02003952",9207
"E02003953",11394
"E02003954",7377
"E02003955",10044
"E02003956",7922
"E02003957",11150
"E02003958",8398
"E02003959",7097
"E02003960",6125
"E02003961",9796
"E02003962",7349
"E02003963",10163
"E02003964",8057
"E02006781",2226
"E02006634",8607
"E02006635",8593
"E02006636",6941
"E02006637",10936
"E02006638",6212
"E02006639",8373
"E02006640",7358
"E02006641",8303
"E02006642",5701
"E02006643",19365
"E02006644",6599
"E02006645",7802
"E02006646",7848
"E02006647",5884
"E02006648",6164
"E02006649",7490
"E02006650",13084
"E02006651",7498
"E02006652",9575
"E02006653",9632
"E02006654",9353
"E02006655",7592
"E02006656",6761
"E02006657",10931
"E02006658",7640
"E02006659",8166
"E02006660",13448
"E02006661",11295
"E02006662",6420
"E02006663",12605
"E02006664",6413
"E02006665",6762
"E02006666",6610
"E02006667",7010
"E02006668",5829
"E02006669",10424
"E02006670",6682
"E02006671",6171
"E02006672",9249
"E02006673",5013
"E02006674",5954
"E02006675",7994
"E02006676",6333
"E02006677",8030
"E02006678",7628
"E02006679",11579
"E02006680",7379
"E02006681",5797
"E02006682",10048
"E02006683",8423
"E02006684",6697
"E02006685",10338
"E02006686",5545
"E02006687",7793
"E02006688",5586
"E02006689",6837
"E02006690",6639
"E02006691",14630
"E02006692",5787
"E02006693",6087
"E02006694",6169
"E02006695",6458
"E02003616",5481
"E02003617",8796
"E02003618",8649
"E02003619",11771
"E02003620",7969
"E02003621",7767
"E02003622",9074
"E02003623",11091
"E02003624",5688
"E02003625",8718
"E02003626",5361
"E02003627",10408
"E02003628",9502
"E02003629",10290
"E02003630",11189
"E02003631",5450
"E02003632",5862
"E02003633",9663
"E02003634",13734
"E02003635",8224
"E02003599",5956
"E02003600",6648
"E02003601",7897
"E02003602",6300
"E02003603",11123
"E02003604",11025
"E02003605",10233
"E02003606",8431
"E02003607",11006
"E02003608",12278
"E02003609",11651
"E02003610",8935
"E02003611",9709
"E02003612",12834
"E02003613",5904
"E02003614",8129
"E02003615",10238
"E02003636",7405
"E02003637",10451
"E02003638",7738
"E02003639",9737
"E02003640",6225
"E02003641",5669
"E02003642",9878
"E02003643",13834
"E02003644",9895
"E02003645",7214
"E02003646",10602
"E02003647",10606
"E02003648",5747
"E02003649",6910
"E02003650",6980
"E02003651",6908
"E02005702",6728
"E02005703",6795
"E02005704",12711
"E02005705",7683
"E02005706",9513
"E02005707",7173
"E02005708",10436
"E02005709",7060
"E02005710",9448
"E02005711",8162
"E02005712",8732
"E02005713",6426
"E02005714",5141
"E02005715",8816
"E02005716",9119
"E02005717",7521
"E02005718",6361
"E02005719",8513
"E02005720",12010
"E02005721",5683
"E02005722",8741
"E02005723",6149
"E02005724",6712
"E02005725",6928
"E02005726",7851
"E02005727",6297
"E02005728",6985
"E02005729",5732
"E02005730",13037
"E02005731",11088
"E02005732",9150
"E02005733",8540
"E02005734",6045
"E02005735",7784
"E02005736",8451
"E02005737",7382
"E02005738",4904
